"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Suite","Suite ID","is_converted"
"C61222","계정 [More] Button > Plan 표시 확인","<ul>
<li>Free 표시되서 나타남</li>
</ul>","Medium","Account plan 표시 확인","1","","Free plan > Account plan 표시 확인","","2.9.0 POR Plan","S280","1"
"C60024","[New] -> [Local Pie] Button Disable 확인","- Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출 
 ![](index.php?/attachments/get/9793b321-15e5-4da3-8e65-063f58f79bd1)","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","","2.9.0 POR Plan","S280","0"
"C61253","Upsell Button 동작 확인","1. Modal Close
2. https://checkout.protopie.io/{unique url}
3. https://www.protopie.io/form/request-demo","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","1. [X]
2. [Upgrade]
3. [Chat with us]","2.9.0 POR Plan","S280","0"
"C60025","Empty Dashboard [Local Pie] Button Disable 확인","Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","","2.9.0 POR Plan","S280","0"
"C61254","Upsell Button 동작 확인","1. Modal Close
2. https://checkout.protopie.io/{unique url}
3. https://www.protopie.io/form/request-demo","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","1. [X]
2. [Upgrade]
3. [Chat with us]","2.9.0 POR Plan","S280","0"
"C60026","[Replace] -> [Local Pie] Button Disable 확인","- Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","","2.9.0 POR Plan","S280","0"
"C61255","Upsell Button 동작 확인","1. Modal Close
2. https://checkout.protopie.io/{unique url}
3. https://www.protopie.io/form/request-demo","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","1. [X]
2. [Upgrade]
3. [Chat with us]","2.9.0 POR Plan","S280","0"
"C61216","[Cloud Pie] -> [Open Local Pie] Upload 시 Upsell Popup 노출","- Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","","2.9.0 POR Plan","S280","0"
"C61256","Upsell Button 동작 확인","1. Modal Close
2. https://checkout.protopie.io/{unique url}
3. https://www.protopie.io/form/request-demo","Medium","[Local Pie] Disable","1","","Free plan > [Local Pie] Disable","1. [X]
2. [Upgrade]
3. [Chat with us]","2.9.0 POR Plan","S280","0"
"C60029","1개의 Cloud Pie 정상 Upload 확인","- 정상 Upload","Medium","Cloud Pie Upload","1","","Free plan > Cloud Pie Upload","","2.9.0 POR Plan","S280","0"
"C60030","2개의 Cloud Pie 정상 Upload 확인","- 정상 Upload","Medium","Cloud Pie Upload","1","","Free plan > Cloud Pie Upload","","2.9.0 POR Plan","S280","0"
"C60031","2개의 Cloud Pie가 Upload 된 상태에서 [New] -> [Cloud Pie] Button Disable 확인","- Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출","Medium","Cloud Pie Upload","1","","Free plan > Cloud Pie Upload","","2.9.0 POR Plan","S280","0"
"C61257","Upsell Button 동작 확인","1. Modal Close
2. https://checkout.protopie.io/{unique url}
3. https://www.protopie.io/form/request-demo","Medium","Cloud Pie Upload","1","","Free plan > Cloud Pie Upload","1. [X]
2. [Upgrade]
3. [Chat with us]","2.9.0 POR Plan","S280","0"
"C60035","2개의 Cloud Pie가 Upload 된 상태에서 [Replace] -> [Local Pie] Button Disable 확인","- Disable 처리 된 상태에서 클릭 시 Upsell dialog 노출","Medium","Cloud Pie Upload","1","","Free plan > Cloud Pie Upload","","2.9.0 POR Plan","S280","0"
